template,POS,defn
adjust,verb-transitive,To settle or bring to a satisfactory state so that parties are agreed in the result
adjust,verb-transitive,To bring to a true relative position as the parts of an instrument to regulate for use
adjust,verb,place in a line or arrange so as to be parallel or straight
adjust,verb,alter or regulate so as to achieve accuracy or conform to a standard
adjust,verb,decide how much is to be paid on an insurance claim
adjust,verb,make correspondent or conformable
adjust,verb,adapt or conform oneself to new or different conditions
admire,verb-transitive,To regard with pleasure wonder and approval
admire,verb-transitive,To have a high opinion of esteem or respect
admire,verb,To be amazed at
admire,verb,To regard with wonder and delight
admire,verb,to look upon with an elevated feeling of pleasure as something which calls out approbation esteem love or reverence
admire,verb,to estimate or prize highly as to admire a person of high moral worth to admire a landscape
admire,verb-intransitive,To wonder to marvel to be affected with surprise  sometimes with at
admire,verb-transitive,To regard with wonder or astonishment to view with surprise to marvel at
admire,verb-transitive,To regard with wonder and delight to look upon with an elevated feeling of pleasure as something which calls out approbation esteem love or reverence to estimate or prize highly
admire,verb,feel admiration for
admire,verb,look at with admiration
ail,verb-intransitive,To feel ill or have pain
ail,verb-transitive,To cause physical or mental pain or uneasiness to trouble See Synonyms at trouble
ail,verb,To cause to suffer to trouble afflict Now chiefly in interrogative or indefinite constructions
ail,verb,To be ill to suffer to be troubled
ail,verb-intransitive,To be affected with pain or uneasiness of any sort to be ill or indisposed or in trouble
ail,verb-transitive,To affect with pain or uneasiness either physical or mental to trouble to be the matter with  used to express some uneasiness or affection whose cause is unknown
ail,verb,cause bodily suffering to and make sick or indisposed
ail,verb,be ill or unwell
aim,verb-transitive,To direct a weapon toward an intended target
aim,verb-transitive,To direct toward or intend for a particular goal or group  The publicity campaign was aimed at improving the eating habits of children 
aim,verb-intransitive,To direct a weapon  a gunner aiming carefully 
aim,verb-intransitive,To determine a course or direct an effort  aim for a better education 
aim,verb-intransitive,To propose to do something intend  The historical society is aiming to restore the town hall 
aim,verb,To point or direct a missile weapon or a weapon which propels as missile towards an object or spot with the intent of hitting it as to aim at a fox or at a target
aim,verb,To direct the intention or purpose to attempt the accomplishment of a purpose to try to gain to endeavorfollowed by at or by an infinitive as to aim at distinction to aim to do well
aim,verb,To direct or point as a weapon at a particular object to direct as a missile an act or a proceeding at to or against an object as to aim a musket or an arrow the fist or a blow at something to aim a satire or a reflection at some person or vice
aim,verb-intransitive,To point or direct a missile weapon or a weapon which propels as missile towards an object or spot with the intent of hitting it
aim,verb-intransitive,To direct the indention or purpose to attempt the accomplishment of a purpose to try to gain to endeavor  followed by at or by an infinitive
aim,verb-intransitive,To guess or conjecture
aim,verb-transitive,To direct or point as a weapon at a particular object to direct as a missile an act or a proceeding at to or against an object
aim,verb,specifically design a product event or activity for a certain public
aim,verb,move into a desired direction of discourse
aim,verb,point or cause to go blows weapons or objects such as photographic equipment towards
aim,verb,propose or intend
aim,verb,have an ambitious plan or a lofty goal
aim,verb,direct a remark toward an intended goal
aim,verb,intend something to move towards a certain goal
anchor,verb-transitive,To hold fast by or as if by an anchor See Synonyms at fasten
anchor,verb-transitive,To narrate or coordinate a newscast
anchor,verb-transitive,To provide or form an anchor store for  Two major stores anchor each end of the shopping mall 
anchor,verb,To hold an object especially a ship or a boat to a fixed point
anchor,verb,To provide emotional stability for a person in distress
anchor,verb,To perform as an anchorman
anchor,verb-intransitive,To cast anchor to come to anchor
anchor,verb-intransitive,To stop to fix or rest
anchor,verb-transitive,To place at anchor to secure by an anchor
anchor,verb-transitive,To fix or fasten to fix in a stable condition
anchor,verb,fix firmly and stably
anchor,verb,secure a vessel with an anchor
angle,verb-intransitive,To fish with a hook and line
angle,verb-intransitive,To try to get something by indirect or artful means  angle for a promotion 
angle,verb-transitive,To move or turn something at an angle  angled the chair toward the window 
angle,verb-intransitive,To continue along or turn at an angle or by angles  The road angles sharply to the left The path angled through the woods 
angle,verb,To place something at an angle
angle,verb,To change direction rapidly
angle,verb,To present or argue something in a particular way or from a particular viewpoint
angle,verb,To leave the cue ball in the jaws of a pocket such that the surround of the pocket the angle blocks the path from cue ball to object ball
angle,verb,To try to catch fish with a hook and line
angle,verb-intransitive,To fish with an angle fishhook or with hook and line
angle,verb-intransitive,To use some bait or artifice to intrigue to scheme
angle,verb-transitive,To try to gain by some insinuating artifice to allure
angle,verb,present with a bias
angle,verb,seek indirectly
angle,verb,to incline or bend from a vertical position
angle,verb,fish with a hook
angle,verb,move or proceed at an angle
animate,verb-transitive,To give life to fill with life
animate,verb-transitive,To impart interest or zest to enliven The party was animated by all kinds of men and women   Rene Dubos 
animate,verb-transitive,To fill with spirit courage or resolution encourage See Synonyms at encourage
animate,verb-transitive,To inspire to action prompt
animate,verb-transitive,To impart motion or activity to
animate,verb-transitive,To make design or produce a cartoon for example so as to create the illusion of motion
animate,verb,To impart motion or the appearance of motion to
animate,verb-transitive,To give natural life to to make alive to quicken
animate,verb-transitive,To give powers to or to heighten the powers or effect of
animate,verb-transitive,To give spirit or vigor to to stimulate or incite to inspirit to rouse to enliven
animate,verb,give new life or energy to
animate,verb,make lively
animate,verb,give lifelike qualities to
animate,verb,heighten or intensify
announce,verb-transitive,To make known publicly
announce,verb-transitive,To proclaim the presence or arrival of  announce a caller 
announce,verb-transitive,To provide an indication of beforehand foretell  The invention of the microchip announced a new generation of computers 
announce,verb-transitive,To serve as an announcer for  announce a football game on TV 
announce,verb-intransitive,To declare ones candidacy  was declared the frontrunner even before she announced 
announce,verb-intransitive,To serve as an announcer
announce,verb,To give public notice or first notice of to make known to publish to proclaim
announce,verb,To pronounce to declare by judicial sentence
announce,verb-transitive,To give public notice or first notice of to make known to publish to proclaim
announce,verb-transitive,To pronounce to declare by judicial sentence
announce,verb,make known make an announcement
announce,verb,announce publicly or officially
announce,verb,give the names of
announce,verb,foreshadow or presage
answer,verb-intransitive,To speak write or act as a return as to a question
answer,verb-intransitive,To be liable or accountable  You must answer for your actions 
answer,verb-intransitive,To serve the purpose suffice Often I do use three words where one would answer   Mark Twain 
answer,verb-intransitive,To correspond match  I found a dog answering to that description 
answer,verb-transitive,To speak write or act as a return to respond to
answer,verb-transitive,To respond correctly to
answer,verb-transitive,To fulfill the demands or needs of serve My fortune has answered my desires   Isaak Walton 
answer,verb-transitive,To conform or correspond to  The suspect answers the description given by the police 
answer,verb,To make a reply or response to
answer,verb,To respond to a call by someone at a door or telephone or other similar piece of equipment
answer,verb,To suit a need or purpose satisfactorily
answer,verb,To file a document in response to a complaint
answer,verb,To correspond to to be in harmony with to be in agreement with
answer,verb-intransitive,To speak or write by way of return originally to a charge or in reply to make response
answer,verb-intransitive,To make a satisfactory response or return
answer,verb-intransitive,To be or act in return
answer,verb-intransitive,To be or act by way of compliance fulfillment reciprocation or satisfaction to serve the purpose
answer,verb-intransitive,To be opposite or to act in opposition
answer,verb-intransitive,To be or act as an equivalent or as adequate or sufficient
answer,verb-intransitive,To be or act in conformity or by way of accommodation correspondence relation or proportion to conform to correspond to suit  usually with to
answer,verb-transitive,To speak in defense against to reply to in defense
answer,verb-transitive,To speak or write in return to as in return to a call or question or to a speech declaration argument or the like to reply to a question remark etc to respond to
answer,verb-transitive,To respond to satisfactorily to meet successfully by way of explanation argument or justification and the like to refute
answer,verb-transitive,To be or act in return or response to
answer,verb-transitive,To be or act in compliance with in fulfillment or satisfaction of as an order obligation demand
answer,verb-transitive,To render account to or for
answer,verb-transitive,To atone to be punished for
answer,verb-transitive,To be opposite to to face
answer,verb-transitive,To be or act an equivalent to or as adequate or sufficient for to serve for to repay
answer,verb-transitive,To be or act in accommodation conformity relation or proportion to to correspond to to suit
answer,verb,be liable or accountable
answer,verb,understand the meaning of
answer,verb,match or correspond
answer,verb,give the correct answer or solution to
answer,verb,respond to a signal
answer,verb,react to a stimulus or command
answer,verb,react verbally
answer,verb,be sufficient be adequate either in quality or quantity
answer,verb,give a defence or refutation of a charge or in an argument
answer,verb,be satisfactory for meet the requirements of or serve the purpose of
applaud,verb-intransitive,To express approval especially by clapping the hands
applaud,verb-transitive,To express approval of someone or something especially by such clapping
applaud,verb-transitive,To commend highly praise  applauded her decision to complete her degree 
applaud,verb,To express approval of something by clapping the hands
applaud,verb,To praise or express approval for something or someone
applaud,verb-intransitive,To express approbation loudly or significantly
applaud,verb-transitive,To show approval of by clapping the hands acclamation or other significant sign
applaud,verb-transitive,To praise by words to express approbation of to commend to approve
applaud,verb,express approval of
applaud,verb,clap ones hands or shout after performances to indicate approval
apply,verb-transitive,To bring into nearness or contact with something put on upon or to  applied glue sparingly to the paper 
apply,verb-transitive,To put to or adapt for a special use  applies all her money to her mortgage 
apply,verb-transitive,To put into action  applied the brakes 
apply,verb-transitive,To devote oneself or ones efforts to something  applied myself to my studies 
apply,verb-intransitive,To be pertinent or relevant  a rule that applies to everyone 
apply,verb-intransitive,To request or seek assistance employment or admission  applied for unemployment benefits will apply to college next year  See Synonyms at resort
apply,verb,To lay or place to put or adjust one thing to anotherwith to as to apply the hand to the breast to apply medicaments to a diseased part of the body
apply,verb,To put to use to use or employ for a particular purpose or in a particular case to appropriate to devote as to apply money to the payment of a debt
apply,verb,To make use of declare or pronounce as suitable fitting or relative as to apply the testimony to the case to apply an epithet to a person
apply,verb,To fix closely to engage and employ diligently or with attention to attach to incline
apply,verb,To betake to address to referused reflexively
apply,verb,To submit oneself as a candidate for
apply,verb,To pertain or be relevant to a specified individual or group
apply,verb-intransitive,To suit to agree to have some connection agreement or analogy
apply,verb-intransitive,To make request to have recourse with a view to gain something to make application to to solicit
apply,verb-intransitive,To ply to move
apply,verb-transitive,To lay or place to put or adjust one thing to another  with to
apply,verb-transitive,To put to use to use or employ for a particular purpose or in a particular case to appropriate to devote
apply,verb-transitive,To make use of declare or pronounce as suitable fitting or relative
apply,verb-transitive,To fix closely to engage and employ diligently or with attention to attach to incline
apply,verb-transitive,To direct or address
apply,verb-transitive,To betake to address to refer  used reflexively
apply,verb-transitive,To busy to keep at work to ply
apply,verb-transitive,To visit
apply,verb,be pertinent or relevant or applicable
apply,verb,avail oneself to
apply,verb,put into service make work or employ for a particular purpose or for its inherent or natural purpose
apply,verb,give or convey physically
apply,verb,be applicable to as to an analysis
apply,verb,apply oneself to
apply,verb,refer a word or name to a person or thing
apply,verb,ensure observance of laws and rules
apply,verb,apply to a surface
apply,verb,ask for something
approach,verb-intransitive,To come near or nearer as in space or time  Spring approaches 
approach,verb-transitive,To come or go near or nearer to  approached the tunnel 
approach,verb-transitive,To come close to as in appearance quality or condition approximate  The performance approaches perfection 
approach,verb-transitive,To make a proposal or overtures to with a specific end in view  approached the administration for a raise 
approach,verb-transitive,To begin to deal with or work on  approached the task with dread approached the issue from a historical perspective 
approach,verb,To come or go near in place or time to draw nigh to advance nearer
approach,verb,To draw near in a figurative sense to make advances to approximate
approach,verb,To come near to in place time character or value to draw nearer to
approach,verb,To make an attempt at solving a problem or making a policy
approach,verb,To speak to as to make a request or ask a question
approach,verb,To take approaches to
approach,verb-intransitive,To come or go near in place or time to draw nigh to advance nearer
approach,verb-intransitive,To draw near in a figurative sense to make advances to approximate
approach,verb-transitive,To bring near to cause to draw near to advance
approach,verb-transitive,To come near to in place time or character to draw nearer to
approach,verb-transitive,To take approaches to
approach,verb,begin to deal with
approach,verb,come near in time
approach,verb,move towards
approach,verb,make advances to someone usually with a proposal or suggestion
approach,verb,come near or verge on resemble come nearer in quality or character
arch,verb-transitive,To provide with an arch  arch a passageway 
arch,verb-transitive,To cause to form an arch or similar curve
arch,verb-transitive,To bend backward  The dancers alternately arched and hunched their backs 
arch,verb-transitive,To span the rude bridge that arched the flood   Ralph Waldo Emerson 
arch,verb-intransitive,To form an arch or archlike curve  The high fly ball arched toward the stands 
arch,verb,To form into an arch shape
arch,verb-intransitive,To form into an arch to curve
arch,verb-transitive,To cover with an arch or arches
arch,verb-transitive,To form or bend into the shape of an arch
arch,verb,form an arch or curve
arrive,verb-intransitive,To reach a destination
arrive,verb-intransitive,To come at length take place  The day of reckoning has arrived 
arrive,verb-intransitive,To achieve success or recognition  He had finally arrived as a designer 
arrive,verb,to reach
arrive,verb,to get to a certain place
arrive,verb,to obtain a level of success or fame
arrive,verb-intransitive,To come to the shore or bank In present usage To come in progress by water or by traveling on land to reach by water or by land  followed by at formerly sometimes by to also by in and from
arrive,verb-intransitive,To reach a point by progressive motion to gain or compass an object by effort practice study inquiry reasoning or experiment
arrive,verb-intransitive,To come said of time
arrive,verb-intransitive,To happen or occur
arrive,verb-transitive,To bring to shore
arrive,verb-transitive,To reach to come to
arrive,verb,reach a destination arrive by movement or progress
arrive,verb,succeed in a big way get to the top
ascend,verb-intransitive,To go or move upward rise See Synonyms at rise
ascend,verb-intransitive,To slope upward
ascend,verb-intransitive,To rise from a lower level or station advance  ascended from poverty to great wealth ascend to the throne 
ascend,verb-intransitive,To go back in time or upward in genealogical succession
ascend,verb-transitive,To move upward upon or along climb  ascended the mountain 
ascend,verb-transitive,To succeed to occupy  ascended the throne upon the death of her father 
ascend,verb,To move upward to fly to soar
ascend,verb,To slope in an upward direction
ascend,verb,To go up
ascend,verb,To succeed
ascend,verb-intransitive,To move upward to mount to go up to rise  opposed to antdescendant
ascend,verb-intransitive,To rise in a figurative sense to proceed from an inferior to a superior degree from mean to noble objects from particulars to generals from modern to ancient times from one note to another more acute etc
ascend,verb-transitive,To go or move upward upon or along to climb to mount to go up the top of
ascend,verb,become king or queen
ascend,verb,come up of celestial bodies
ascend,verb,go along towards a rivers source
ascend,verb,travel up
ascend,verb,go back in order of genealogical succession
ascend,verb,slope upwards
ascend,verb,move to a better position in life or to a better job
ascend,verb,appear to be moving upward as by means of tendrils
ask,verb-transitive,To put a question to  When we realized that we didnt know the answer we asked the teacher 
ask,verb-transitive,To seek an answer to  ask a question 
ask,verb-transitive,To seek information about  asked directions 
ask,verb-transitive,To make a request of  asked me for a loan 
ask,verb-transitive,To make a request for Often used with an infinitive or clause  ask a favor of a friend asked to go along on the trip asked that he be allowed to stay out late 
ask,verb-transitive,To require or call for as a price or condition  asked ten dollars for the book 
ask,verb-transitive,To expect or demand  ask too much of a child 
ask,verb-transitive,To invite  asked them to dinner 
ask,verb-intransitive,To make inquiry seek information
ask,verb-intransitive,To make a request  asked for help 
ask,verb,To look for an answer to a question by speaking
ask,verb,To approach someone to do something
ask,verb-intransitive,To request or petition  usually followed by for
ask,verb-intransitive,To make inquiry or seek by request  sometimes followed by after
ask,verb-transitive,To request to seek to obtain by words to petition to solicit  often with of in the sense of from before the person addressed
ask,verb-transitive,To interrogate or inquire of or concerning to put a question to or about to question
ask,verb-transitive,To invite
ask,verb-transitive,To publish in church for marriage  said of both the banns and the persons
ask,verb,make a request or demand for something to somebody
ask,verb,direct or put seek an answer to
ask,verb,address a question to and expect an answer from
ask,verb,consider obligatory request and expect
ask,verb,require or ask for as a price or condition
ask,verb,inquire about
ask,verb,require as useful just or proper
assault,verb-transitive,To make an assault upon attack See Synonyms at attack
assault,verb-transitive,To rape
assault,verb-intransitive,To make an assault
assault,verb,To attack threaten or harass
assault,verb-transitive,To make an assault upon as by a sudden rush of armed men to attack with unlawful or insulting physical violence or menaces
assault,verb-transitive,To attack with moral means or with a view of producing moral effects to attack by words arguments or unfriendly measures to assail
assault,verb,force someone to have sex against their will
assault,verb,attack someone physically or emotionally
assault,verb,attack in speech or writing
assemble,verb-transitive,To bring or call together into a group or whole  assembled the jury 
assemble,verb-transitive,To fit together the parts or pieces of  assemble a machine assemble data 
assemble,verb-intransitive,To gather together congregate See Synonyms at gather
assemble,verb,To put together
assemble,verb,To gather as a group
assemble,verb,to translate from assembly language to machine code
assemble,verb-intransitive,To meet or come together as a number of individuals to convene to congregate
assemble,verb-intransitive,To liken to compare
assemble,verb-transitive,To collect into one place or body to bring or call together to convene to congregate
assemble,verb-transitive,To collect and put together the parts of
assemble,verb,get people together
assemble,verb,create by putting components or members together
assemble,verb,collect in one place
assist,verb-transitive,To give help or support to especially as a subordinate or supplement aid  The clerk assisted the judge by looking up related precedents Her breathing was assisted by a respirator 
assist,verb-intransitive,To give aid or support See Synonyms at help
assist,verb-intransitive,To be present as at a conference
assist,verb,To stand at a place or to an opinion to attend a theatrical performance
assist,verb,To help
assist,verb,To make a pass that leads directly towards scoring
assist,verb-intransitive,To lend aid to help
assist,verb-intransitive,To be present as a spectator
assist,verb-transitive,To give support to in some undertaking or effort or in time of distress to help to aid to succor
assist,verb,give help or assistance be of service
assist,verb,work for or be a servant to
assist,verb,act as an assistant in a subordinate or supportive function
attack,verb-transitive,To set upon with violent force
attack,verb-transitive,To criticize strongly or in a hostile manner
attack,verb-transitive,To start work on with purpose and vigor  attack a problem 
attack,verb-transitive,To begin to affect harmfully  a disease that attacks the central nervous system 
attack,verb-intransitive,To make an attack launch an assault  The enemy attacked during the night 
attack,verb,To apply violent force to someone or something
attack,verb,To aggressively challenge a person idea etc with words particularly in newspaper headlines because it typesets into less space than criticize or similar
attack,verb,To deal with something undesirable in a direct way
attack,verb,To aim balls at the batsmans wicket
attack,verb,To set a field or bowl in a manner designed to get wickets
attack,verb,To bat aggressively so as to score runs quickly
attack,verb,To move forward in an attempt to actively score point as opposed to trying not to concede
attack,verb-intransitive,To make an onset or attack
attack,verb-transitive,To fall upon with force to assail as with force and arms to assault
attack,verb-transitive,To assail with unfriendly speech or writing to begin a controversy with to attempt to overthrow or bring into disrepute by criticism or satire to censure
attack,verb-transitive,To set to work upon as upon a task or problem or some object of labor or investigation
attack,verb-transitive,To begin to affect to begin to act upon injuriously or destructively to begin to decompose or waste
attack,verb,attack someone physically or emotionally
attack,verb,begin to injure
attack,verb,set to work upon turn ones energies vigorously to a task
attack,verb,attack in speech or writing
attack,verb,take the initiative and go on the offensive
attack,verb,launch an attack or assault on begin hostilities or start warfare with
autograph,verb-transitive,To write ones name or signature on or in sign
autograph,verb-transitive,To write in ones own handwriting
autograph,verb,To sign or write ones name or signature on a book etc
autograph,verb,To write something in ones own handwriting
autograph,verb,mark with ones signature
awaken,verb-transitive,To awake waken See Usage Note at wake
awaken,verb,To cause to become awake
awaken,verb,To cause to become conscious
awaken,verb,To stop sleeping
awaken,verb,To rouse from sleep or torpor to awake to wake
awaken,verb,stop sleeping
awaken,verb,cause to become awake or conscious
awaken,verb,make aware
babble,verb-intransitive,To utter a meaningless confusion of words or sounds  Babies babble before they can talk 
babble,verb-intransitive,To talk foolishly or idly chatter In  he was thought of as crazy because he was babbling about supply side   Newt Gingrich 
babble,verb-intransitive,To make a continuous low murmuring sound as flowing water
babble,verb-transitive,To utter rapidly and indistinctly
babble,verb-transitive,To blurt out impulsively disclose without careful consideration
babble,verb,To utter words indistinctly or unintelligibly to utter inarticulate sounds as a child babbles
babble,verb,To talk incoherently to utter unmeaning words
babble,verb,To talk much to chatter to prate
babble,verb,To make a continuous murmuring noise as shallow water running over stones
babble,verb,To utter in an indistinct or incoherent way to repeat as words in a childish way without understanding
babble,verb,To disclose by too free talk as a secret
babble,verb-intransitive,To utter words indistinctly or unintelligibly to utter inarticulate sounds as a child babbles
babble,verb-intransitive,To talk incoherently to utter unmeaning words
babble,verb-intransitive,To talk much to chatter to prate
babble,verb-intransitive,To make a continuous murmuring noise as shallow water running over stones
babble,verb-transitive,To utter in an indistinct or incoherent way to repeat as words in a childish way without understanding
babble,verb-transitive,To disclose by too free talk as a secret
babble,verb,to talk foolishly
babble,verb,utter meaningless sounds like a baby or utter in an incoherent way
babble,verb,divulge confidential information or secrets
babble,verb,flow in an irregular current with a bubbling noise
back,verb-transitive,To cause to move backward or in a reverse direction  Back the car up and then make the turn 
back,verb-transitive,To furnish or strengthen with a back or backing
back,verb-transitive,To provide with financial or moral support support or endorse  Unions backed the prolabor candidate  See Synonyms at support
back,verb-transitive,To provide with musical accompaniment Often used with up
back,verb-transitive,To bet or wager on
back,verb-transitive,To adduce evidence in support of substantiate  backed the argument with facts 
back,verb-transitive,To form the back or background of  Snowcapped mountains back the village 
back,verb-intransitive,To move backward  backed out of the garage 
back,verb-intransitive,To shift to a counterclockwise direction Used of the wind
back,verb,To go in the reverse direction
back,verb,To support
back,verb,to change direction contrary to its normal pattern anticlockwise in the northern hemisphere clockwise in the southern
back,verb,to brace the yards so that the wind presses on the front of the sail to slow the ship
back,verb,to lay out a second smaller anchor to provide additional holding power
back,verb-intransitive,To move or go backward
back,verb-intransitive,To change from one quarter to another by a course opposite to that of the sun  used of the wind
back,verb-intransitive,To stand still behind another dog which has pointed  said of a dog
back,verb-transitive,To get upon the back of to mount
back,verb-transitive,To place or seat upon the back
back,verb-transitive,To drive or force backward to cause to retreat or recede
back,verb-transitive,To make a back for to furnish with a back
back,verb-transitive,To adjoin behind to be at the back of
back,verb-transitive,To write upon the back of  to indorse
back,verb-transitive,To support to maintain to second or strengthen by aid or influence
back,verb-transitive,To bet on the success of  as to back a race horse
back,verb,travel backward
back,verb,be behind approve of
back,verb,place a bet on
back away,verb,To move in a direction opposite where one is facing keeping some or most of your attention on the thing in front being avoided
back away,verb,make a retreat from an earlier commitment or activity
back down,verb,To take a less aggressive position in a conflict than one previously has or has planned to
back off,verb,To move backwards away from something
back off,verb,To become less aggressive particularly when one had appeared committed to act
back off,verb,To lower the setting of
back off,verb,move backwards from a certain position
back off,verb,remove oneself from an obligation
bag,verb-transitive,To put into or as if into a bag
bag,verb-transitive,To cause to bulge like a pouch
bag,verb-transitive,To capture or kill as game  bagged six grouse 
bag,verb-intransitive,To pack items in a bag
bag,verb-intransitive,To hang loosely
bag,verb-intransitive,To swell out bulge
bag,verb,To put into a bag
bag,verb,To catch or kill especially when fishing or hunting
bag,verb,To gain possession of something or to make first claim on something
bag,verb,To bring a woman one met on the street with one
bag,verb,To laugh uncontrollably
bag,verb,To criticise sarcastically
bag,verb,To provide artificial ventilation with a bag valve mask BVM resuscitator
bag,verb,To swell or hang down like a full bag
bag,verb,To swell with arrogance
bag,verb,To become pregnant
bag,verb-intransitive,To swell or hang down like a full bag
bag,verb-intransitive,To swell with arrogance
bag,verb-intransitive,To become pregnant
bag,verb-transitive,To put into a bag
bag,verb-transitive,To seize capture or entrap
bag,verb-transitive,To furnish or load with a bag or with a well filled bag
bag,verb,bulge out form a bulge outward or be so full as to appear to bulge
bag,verb,put into a bag
